rt_source,rt_target_predicted,ci_lower,ci_upper
2.23,0.8801855224021145,0.3521983214870098,1.408172723317219
2.2523123123123123,0.8833880881205918,0.3683949214419293,1.408172723317219
2.2746246246246247,0.8862630692409809,0.38308944196213146,1.408172723317219
2.296936936936937,0.8884828811651957,0.39590221990751645,1.408172723317219
2.3192492492492494,0.8897199392951476,0.40647394403237497,1.408172723317219
2.3415615615615617,0.8899180953233166,0.4147115986265371,1.408172723317219
2.363873873873874,0.8918388881921492,0.4233467968375854,1.408172723317219
2.386186186186186,0.9038289213520759,0.4407017956031252,1.408172723317219
2.4084984984984983,0.935298818119175,0.4761651501693903,1.408172723317219
2.4308108108108106,0.9956588328828284,0.5391468888519197,1.452170776913737
2.453123123123123,1.0857637068522603,0.6305043034546203,1.5410231102499004
2.4754354354354353,1.1778133529774362,0.7224434036512188,1.6331833023036535
2.4977477477477477,1.2587775047331098,0.8019608427425347,1.715594166723685
2.52006006006006,1.3286838004310395,0.8690976744819399,1.7882699263801392
2.5423723723723723,1.3877400614233968,0.9240767087363939,1.8514034141103997
2.5646846846846847,1.4361541090623517,0.9671335408120298,1.9051746773126736
2.586996996996997,1.4741337647000767,0.998519506769816,1.9497480226303374
2.6093093093093094,1.5018868496887428,1.0184968329365989,1.9852768664408866
2.6316216216216217,1.5199296177104635,1.0276330598920145,2.0122261755289124
2.653933933933934,1.5301321826484846,1.0278315790966566,2.032432786200313
2.6762462462462464,1.5347360239973311,1.0278315790966566,2.0481017538029627
2.6985585585585588,1.5359826313056917,1.0278315790966566,2.061419573465071
2.720870870870871,1.5360702873557694,1.0278315790966566,2.074505698718573
2.7431831831831834,1.5361412123409468,1.0278315790966566,2.0884129866307095
2.7654954954954953,1.536245743357246,1.0278315790966566,2.103110182136046
2.7878078078078077,1.536383844133605,1.0278315790966566,2.118521136208316
2.81012012012012,1.536555478398963,1.0278315790966566,2.1345751314029195
2.8324324324324324,1.5367606098822595,1.0278315790966566,2.151206951270838
2.8547447447447447,1.5369992023124355,1.0278315790966566,2.168356785826483
2.877057057057057,1.5372712194184297,1.0278315790966566,2.185970023034292
2.8993693693693694,1.537576624929179,1.0278315790966566,2.203996965278165
2.9216816816816817,1.5379153825736274,1.0278315790966566,2.2223925016375223
2.943993993993994,1.5382874560807107,1.0278315790966566,2.24111576042185
2.9663063063063064,1.5386928091793692,1.0278315790966566,2.2601297568592136
2.9886186186186183,1.5391314055985423,1.0278315790966566,2.2794010497725594
3.0109309309309307,1.5396032090671685,1.0278315790966566,2.2988994134452962
3.033243243243243,1.540108183314193,1.0278315790966566,2.318597529733606
3.0555555555555554,1.5406462920685462,1.0278315790966566,2.3384707028338783
3.0778678678678677,1.5412174990591738,1.0278315790966566,2.3584965978814068
3.10018018018018,1.5418217680150117,1.0278315790966566,2.37865500293744
3.1224924924924924,1.5424590626650023,1.0278315790966566,2.3989276132236874
3.1448048048048047,1.5431293467380847,1.0278315790966566,2.419297836971049
3.167117117117117,1.5438325839631957,1.0278315790966566,2.4397506207955284
3.1894294294294294,1.5445687380692756,1.0278315790966566,2.460272293180091
3.2117417417417418,1.5453377727852622,1.0278315790966566,2.4808504246438825
3.234054054054054,1.5461396518401034,1.0278315790966566,2.501473702513734
3.2563663663663664,1.546974338962728,1.0278315790966566,2.522131819225879
3.278678678678679,1.5478417978820818,1.0278315790966566,2.5428153724870386
3.300990990990991,1.5487419923271029,1.0278315790966566,2.563515776373756
3.3233033033033035,1.5496748860267262,1.0278315790966566,2.5842251816768647
3.345615615615616,1.5506404427098959,1.0278315790966566,2.6049364049640666
3.367927927927928,1.5516386261055528,1.0278315790966566,2.625642865009163
3.3902402402402405,1.552669399942634,1.0278315790966566,2.646338526110511
3.412552552552553,1.5537327279500799,1.0278315790966566,2.6670178472348325
3.4348648648648648,1.5548285738568224,1.0278315790966566,2.6876757364190835
3.457177177177177,1.5559569013918138,1.0278315790966566,2.708307510026003
3.4794894894894894,1.5571176742839854,1.0278315790966566,2.7289088560004924
3.501801801801802,1.5583108562622787,1.0278315790966566,2.749475801004237
3.524114114114114,1.5595364110556313,1.0278315790966566,2.7700046806790706
3.5464264264264265,1.5607943023929818,1.0278315790966566,2.790492113005699
3.568738738738739,1.5620844940032765,1.0278315790966566,2.810934974201599
3.5910510510510507,1.5634069496154537,1.0278315790966566,2.8313303770011156
3.613363363363363,1.5647616329584393,1.0278315790966566,2.851675650976045
3.6356756756756754,1.5661485077611834,1.0278315790966566,2.871968324754124
3.6579879879879877,1.5675675377526326,1.0278315790966566,2.8922061098868737
3.6803003003003,1.5690186866617146,1.0278315790966566,2.912386886314378
3.7026126126126124,1.5705019182173647,1.0278315790966566,2.9325086889538077
3.7249249249249248,1.5720171961485432,1.0278315790966566,2.952569695724561
3.747237237237237,1.573564484184175,1.0278315790966566,2.9725682165762146
3.7695495495495495,1.575143746053197,1.0278315790966566,2.99250268338108
3.791861861861862,1.5767549454845535,1.0278315790966566,3.0123716408368564
3.814174174174174,1.5783980462071785,1.0278315790966566,3.0321737381649685
3.8364864864864865,1.5800730119500204,1.0278315790966566,3.0519077214425865
3.858798798798799,1.5817798064420163,1.0278315790966566,3.0715724265849658
3.881111111111111,1.5835183934120969,1.0278315790966566,3.091166772989573
3.9034234234234235,1.5852887365892054,1.0278315790966566,3.11068975766085
3.925735735735736,1.5870907997022985,1.0278315790966566,3.130140449791238
3.948048048048048,1.5889245464802957,1.0278315790966566,3.1495179858172975
3.9703603603603606,1.5907899406521337,1.0278315790966566,3.168821564866641
3.992672672672673,1.592686945946768,1.0278315790966566,3.1880504445653983
4.014984984984985,1.5946155260931223,1.0278315790966566,3.2072039371201706
4.037297297297298,1.5965756448201547,1.0278315790966566,3.226281405780327
4.059609609609609,1.5985672658567842,1.0278315790966566,3.245282261557037
4.081921921921921,1.6005903529319603,1.0278315790966566,3.264205960117217
4.104234234234234,1.602644869774635,1.0278315790966566,3.2830519989783635
4.126546546546546,1.6047307801137216,1.0278315790966566,3.301819914969557
4.148858858858858,1.6068480476781717,1.0278315790966566,3.3205092816614097
4.171171171171171,1.6089966361969346,1.0278315790966566,3.339119707236414
4.193483483483483,1.6111765093989272,1.0278315790966566,3.3576508323640732
4.2157957957957954,1.6133876310131114,1.0278315790966566,3.376102328245074
4.238108108108108,1.615629964768414,1.0278315790966566,3.3944738948143405
4.26042042042042,1.6179034743937806,1.0278315790966566,3.4127652591019606
4.2827327327327325,1.620208123618155,1.0278315790966566,3.430976173589827
4.305045045045045,1.6225438761704594,1.0278315790966566,3.449106414851543
4.327357357357357,1.624910695779647,1.0278315790966566,3.4671557820649017
4.3496696696696695,1.6273085461746473,1.0278315790966566,3.485124095872472
4.371981981981982,1.6297373910844157,1.0278315790966566,3.503011197121807
4.394294294294294,1.6321971942378746,1.0278315790966566,3.52081694579935
4.4166066066066065,1.6346879193639807,1.0278315790966566,3.538541219916036
4.438918918918919,1.6372095301916456,1.0278315790966566,3.556183914623824
4.461231231231231,1.6397619904498424,1.0278315790966566,3.573744941275134
4.483543543543544,1.6423452638674836,1.0278315790966566,3.5912242265216356
4.505855855855856,1.6449593141735246,1.0278315790966566,3.6086217116085066
4.528168168168168,1.6476041050968955,1.0278315790966566,3.625937351545849
4.550480480480481,1.6502796003665519,1.0278315790966566,3.6431711144256287
4.572792792792793,1.652985763711412,1.0278315790966566,3.6603229808354554
4.595105105105105,1.655722558860426,1.0278315790966566,3.677392942992819
4.617417417417418,1.6584899495425303,1.0278315790966566,3.69438100456024
4.63972972972973,1.6612878994866696,1.0278315790966566,3.711287179661581
4.662042042042042,1.6641163724217698,1.0278315790966566,3.7281114926724976
4.684354354354355,1.6669753320768013,1.0278315790966566,3.7448539776357617
4.706666666666667,1.6698647421806518,1.0278315790966566,3.76151467772696
4.728978978978979,1.6727845664623253,1.0278315790966566,3.7780936448794353
4.751291291291292,1.6757347686506971,1.0278315790966566,3.7945909394589323
4.773603603603604,1.6787153124747514,1.0278315790966566,3.8110066296856213
4.795915915915916,1.6817261616633998,1.0278315790966566,3.8273407914486155
4.818228228228229,1.6847672799456181,1.0278315790966566,3.8435935077919865
4.840540540540541,1.6878386310503084,1.0278315790966566,3.859764868790985
4.862852852852853,1.6909401787064144,1.0278315790966566,3.8758549710484047
4.885165165165166,1.6940718866429134,1.0278315790966566,3.8918639174956793
4.907477477477478,1.6972337185887025,1.0278315790966566,3.907791817070955
4.9297897897897895,1.7004256382727239,1.0278315790966566,3.923638784558242
4.952102102102102,1.7036476094239363,1.0278315790966566,3.939404940144013
4.974414414414414,1.7068995957712696,1.0278315790966566,3.9550904094810937
4.996726726726727,1.7101815610436724,1.0278315790966566,3.9706953230664968
5.019039039039039,1.7134934689700674,1.0278315790966566,3.9862198163704554
5.041351351351351,1.7168352832794027,1.0278315790966566,4.001664029473414
5.063663663663664,1.7202069677006226,1.0278315790966566,4.01702810688366
5.085975975975976,1.723608485962658,1.0278315790966566,4.032312197405281
5.108288288288288,1.7270398017944606,1.0278315790966566,4.047516453906345
5.130600600600601,1.7305008789249496,1.0278315790966566,4.062641033216662
5.152912912912913,1.7339916810830864,1.0278315790966566,4.077686095886375
5.175225225225225,1.7375121719977857,1.0278315790966566,4.092651806105039
5.197537537537538,1.7410623153980231,1.0278315790966566,4.10753833152074
5.21984984984985,1.7446420750127034,1.0278315790966566,4.122345843152365
5.242162162162162,1.748251414570775,1.0278315790966566,4.137074515169289
